iter	RMSE
0	46955.51698
1	46208.26834
2	45461.27193
3	44771.99043
4	44134.92617
5	43534.56121
6	43022.54773
7	42513.45677
8	42033.70388
9	41543.85078
10	41146.82213
11	40774.82033
12	40427.36013
13	40135.95709
14	39840.03348
15	39540.62231
16	39255.11996
17	39001.8756
18	38753.75634
19	38570.80137
20	38383.22447
21	38218.1851
22	38038.89341
23	37881.12023
24	37758.96489
25	37573.90542
26	37368.44782
27	37197.62385
28	37030.85876
29	36885.37359
30	36776.11558
31	36646.45762
32	36511.2689
33	36384.2308
34	36267.88596
35	36188.69655
36	36100.80393
37	36043.37485
38	35964.97752
39	35820.95741
40	35729.2191
41	35670.35374
42	35611.65812
43	35543.39272
44	35477.83828
45	35388.48138
46	35315.51746
47	35236.18988
48	35182.50345
49	35120.61262
50	35067.21707
51	35001.46942
52	34928.48618
53	34838.07797
54	34771.43839
55	34703.59191
56	34627.15715
57	34574.88241
58	34521.01956
59	34471.80044
60	34414.86962
61	34363.08428
62	34303.87548
63	34257.43234
64	34219.83449
65	34181.34576
66	34142.11101
67	34105.82758
68	34068.7065
69	34026.2446
70	33976.10658
71	33932.07128
72	33894.51267
73	33848.07603
74	33784.52554
75	33747.53272
76	33705.23512
77	33653.1427
78	33614.22592
79	33550.8363
80	33515.81939
81	33468.338
82	33418.01458
83	33387.80401
84	33343.34886
85	33315.30964
86	33278.26349
87	33223.85743
88	33195.54371
89	33146.05348
90	33109.55095
91	33080.48927
92	33043.76012
93	33022.9083
94	32988.63092
95	32952.47604
96	32911.04727
97	32854.39662
98	32814.85463
99	32778.62535
100	32740.29204
101	32704.15113
102	32677.21353
103	32650.86201
104	32607.46868
105	32563.70959
106	32521.69716
107	32501.49194
108	32473.43025
109	32433.09208
110	32399.11075
111	32364.44987
112	32319.8826
113	32284.5463
114	32250.41759
115	32218.03457
116	32186.87763
117	32155.77684
118	32134.01694
119	32097.05917
120	32072.73937
121	32046.16636
122	32010.9358
123	31988.4559
124	31951.68706
125	31933.16363
126	31913.23743
127	31887.84932
128	31860.17803
129	31835.98646
130	31802.32374
131	31786.15116
132	31765.54208
133	31744.14327
134	31723.61717
135	31700.39957
136	31677.14218
137	31651.09645
138	31626.20492
139	31582.20053
140	31551.41973
141	31505.45153
142	31478.89813
143	31461.01479
144	31437.71379
145	31402.53234
146	31392.89613
147	31355.53479
148	31327.55992
149	31312.31212
150	31290.35252
151	31250.61112
152	31232.80358
153	31210.83587
154	31187.12409
155	31156.34609
156	31130.48614
157	31091.89327
158	31053.99968
159	31022.46787
160	31002.39044
161	30975.29549
162	30952.33778
163	30922.53164
164	30891.51754
165	30866.939
166	30857.84734
167	30831.6493
168	30804.85679
169	30778.33778
170	30762.44895
171	30743.35916
172	30729.75199
173	30708.18444
174	30685.65176
175	30661.96739
176	30638.76334
177	30616.23325
178	30594.06993
179	30575.09151
180	30553.29941
181	30519.83805
182	30498.92497
183	30476.93619
184	30451.37653
185	30422.43001
186	30401.02075
187	30382.58939
188	30354.25973
189	30326.03517
190	30304.77937
191	30284.95608
192	30276.56755
193	30268.45426
194	30245.12218
195	30230.78134
196	30208.29214
197	30185.20955
198	30157.60749
199	30149.75307
200	30116.04307
201	30103.92917
202	30096.40858
203	30064.53054
204	30041.43194
205	30027.77411
206	30006.95418
207	29999.63944
208	29971.03023
209	29936.73384
210	29928.05731
211	29911.39652
212	29904.48099
213	29885.50256
214	29861.16124
215	29846.85441
216	29827.76248
217	29800.52068
218	29785.35136
219	29778.6236
220	29760.26779
221	29742.45444
222	29735.93481
223	29714.12352
224	29706.30628
225	29682.55383
226	29660.67682
227	29625.26823
228	29619.0892
229	29597.3454
230	29582.06989
231	29560.8849
232	29546.45855
233	29540.69946
234	29521.10129
235	29500.87309
236	29481.29113
237	29460.87133
238	29443.23288
239	29416.0786
240	29395.753
241	29376.33906
242	29370.74988
243	29354.6387
244	29349.22455
245	29343.98173
246	29338.9045
247	29317.84307
248	29305.34787
249	29300.43371
250	29295.67415
251	29291.06404
252	29284.36152
253	29280.00906
254	29264.68693
255	29259.3831
256	29253.14974
257	29249.13079
258	29232.61066
259	29227.78824
260	29222.04683
261	29208.69511
262	29204.18148
263	29200.59629
264	29197.121
265	29189.43999
266	29171.38002
267	29156.83912
268	29151.60568
269	29134.57412
270	29117.11335
271	29107.47954
272	29081.14817
273	29068.11232
274	29051.24738
275	29032.52435
276	29028.08963
277	29011.59805
278	28998.06461
279	28993.83372
280	28977.93216
281	28970.82585
282	28955.22387
283	28937.89252
284	28925.51589
285	28910.33899
286	28904.74296
287	28876.51272
288	28860.6182
289	28848.74345
290	28832.68208
291	28818.05283
292	28805.4036
293	28790.64836
294	28772.54618
295	28746.00094
296	28736.13308
297	28712.51921
298	28693.19773
299	28675.99942
300	28653.9516
301	28638.85436
302	28630.86708
303	28616.23514
304	28600.55352
305	28579.76669
306	28561.78989
307	28550.55217
308	28547.57199
309	28531.04957
310	28521.8082
311	28516.72616
312	28501.99968
313	28482.30232
314	28470.23384
315	28458.76492
316	28444.14588
317	28427.01021
318	28424.1184
319	28409.43156
320	28399.71235
321	28384.3248
322	28375.05785
323	28367.73942
324	28359.33229
325	28355.26334
326	28338.9622
327	28331.21616
328	28309.94248
329	28291.89518
330	28286.96371
331	28275.43336
332	28261.74753
333	28242.8155
334	28226.04572
335	28208.2369
336	28192.81863
337	28177.39567
338	28166.71149
339	28154.56245
340	28141.97729
341	28133.0379
342	28116.90511
343	28100.65174
344	28093.19691
345	28079.42113
346	28074.42893
347	28064.80362
348	28049.55207
349	28034.18703
350	28021.34557
351	28000.01935
352	27988.86609
353	27976.4221
354	27957.27575
355	27937.70892
356	27924.13859
357	27918.7812
358	27910.80209
359	27898.19335
360	27883.58596
361	27871.07076
362	27868.24372
363	27860.91835
364	27846.12078
365	27831.73984
366	27818.35109
367	27804.15264
368	27799.5506
369	27788.23405
370	27779.85788
371	27768.50491
372	27758.97529
373	27746.23992
374	27727.05567
375	27716.63818
376	27707.15537
377	27690.47171
378	27670.42082
379	27666.88398
380	27655.65851
381	27640.31242
382	27632.2574
383	27618.173
384	27605.33839
385	27599.94579
386	27584.75434
387	27578.67252
388	27574.70049
389	27562.0947
390	27549.09504
391	27535.32955
392	27520.52288
393	27501.81601
394	27481.78004
395	27475.47494
396	27467.95148
397	27449.70768
398	27439.62157
399	27431.05162
400	27427.22938
401	27413.05657
402	27402.29747
403	27385.44322
404	27373.35532
405	27367.27269
406	27353.24799
407	27344.46096
408	27339.18584
409	27323.17538
410	27309.96587
411	27297.79161
412	27291.89998
413	27283.92624
414	27270.11272
415	27258.97352
416	27252.38331
417	27236.28947
418	27222.23776
419	27214.85376
420	27211.00626
421	27207.85008
422	27191.76236
423	27179.53629
424	27167.69223
425	27159.91709
426	27147.37226
427	27135.58797
428	27122.08339
429	27108.34223
430	27100.11109
431	27087.35414
432	27080.23781
433	27069.86192
434	27066.29379
435	27051.33477
436	27043.20012
437	27029.20125
438	27017.40877
439	27005.67911
440	26994.58808
441	26991.8453
442	26978.94202
443	26968.16617
444	26951.80784
445	26942.83685
446	26928.45554
447	26917.10729
448	26906.26507
449	26891.36344
450	26877.43274
451	26867.77876
452	26854.00742
453	26845.64893
454	26832.97799
455	26830.26521
456	26826.68347
457	26818.18804
458	26810.13425
459	26799.81979
460	26790.24803
461	26781.20521
462	26775.93658
463	26767.71333
464	26765.06391
465	26749.63023
466	26746.73639
467	26742.86707
468	26727.78793
469	26715.31054
470	26704.58485
471	26697.73804
472	26690.8947
473	26685.71287
474	26671.38516
475	26660.5195
476	26657.9701
477	26655.25668
478	26647.38211
479	26639.93058
480	26624.43877
481	26608.84695
482	26592.92091
483	26578.00303
484	26565.34613
485	26562.87158
486	26552.10356
487	26540.5155
488	26530.09978
489	26521.57622
490	26512.744
491	26510.12204
492	26507.73992
493	26495.89807
494	26484.7744
495	26482.28999
496	26464.0722
497	26456.64163
498	26449.99465
499	26435.33823
500	26430.43328
501	26424.45935
502	26414.24918
503	26408.06657
