iter	Passed	Remaining
0	1	1662
1	3	1598
2	6	2274
3	8	2162
4	13	2626
5	16	2672
6	18	2602
7	25	3116
8	30	3327
9	32	3231
10	34	3074
11	35	2940
12	37	2820
13	38	2719
14	40	2635
15	41	2555
16	45	2647
17	47	2583
18	48	2516
19	50	2458
20	51	2407
21	53	2367
22	55	2354
23	57	2329
24	61	2385
25	62	2347
26	64	2313
27	65	2277
28	67	2243
29	68	2217
30	69	2187
31	71	2156
32	72	2132
33	77	2208
34	79	2196
35	81	2171
36	82	2155
37	84	2133
38	85	2110
39	87	2089
40	88	2068
41	91	2093
42	93	2087
43	95	2067
44	96	2049
45	98	2032
46	99	2017
47	100	1999
48	102	1987
49	103	1972
50	107	1993
51	109	1991
52	110	1977
53	112	1963
54	113	1949
55	114	1936
56	116	1923
57	117	1910
58	119	1898
59	120	1890
60	124	1909
61	125	1900
62	127	1889
63	128	1877
64	129	1869
65	131	1858
66	132	1848
67	134	1837
68	135	1827
69	136	1816
70	140	1844
71	143	1847
72	144	1838
73	146	1828
74	147	1819
75	149	1811
76	150	1802
77	151	1793
78	155	1807
79	157	1807
80	158	1800
81	160	1792
82	161	1784
83	163	1783
84	165	1777
85	166	1769
86	167	1762
87	172	1783
88	173	1776
89	175	1769
90	176	1762
91	177	1756
92	179	1749
93	180	1741
94	182	1733
95	183	1726
96	187	1742
97	189	1743
98	191	1738
99	192	1732
100	193	1725
101	195	1718
102	196	1713
103	198	1707
104	199	1702
105	205	1733
106	207	1731
107	208	1725
108	210	1719
109	211	1712
110	213	1706
111	214	1702
112	219	1721
113	221	1719
114	222	1713
115	224	1707
116	225	1701
117	226	1695
118	228	1689
119	229	1684
120	231	1679
121	234	1687
122	236	1686
123	237	1680
124	239	1674
125	240	1669
126	242	1664
127	243	1659
128	245	1654
129	246	1649
130	249	1652
131	251	1653
132	252	1647
133	254	1644
134	255	1639
135	257	1634
136	258	1630
137	260	1625
138	261	1620
139	263	1616
140	266	1622
141	268	1620
142	270	1620
143	274	1631
144	276	1630
145	278	1626
146	279	1622
147	282	1625
148	284	1622
149	288	1632
150	290	1631
151	291	1627
152	293	1622
153	294	1617
154	298	1626
155	300	1623
156	302	1622
157	304	1624
158	306	1620
159	307	1615
160	309	1611
161	310	1607
162	314	1614
163	315	1609
164	317	1605
165	318	1600
166	319	1595
167	321	1591
168	322	1586
169	324	1582
170	328	1594
171	330	1592
172	333	1593
173	335	1594
174	337	1590
175	338	1585
176	340	1581
177	343	1587
178	346	1590
179	348	1586
180	349	1581
181	351	1577
182	352	1573
183	353	1569
184	355	1564
185	359	1573
186	361	1572
187	363	1568
188	364	1563
189	366	1560
190	367	1556
191	368	1551
192	370	1547
193	371	1543
194	376	1553
195	380	1558
196	381	1555
197	382	1551
198	384	1547
199	386	1544
200	387	1539
201	390	1543
202	392	1541
203	394	1538
204	395	1533
205	397	1530
206	398	1526
207	399	1522
208	401	1518
209	402	1514
210	406	1519
211	408	1517
212	409	1514
213	411	1510
214	412	1507
215	414	1503
216	415	1499
217	417	1496
218	418	1492
219	419	1488
220	423	1493
221	425	1490
222	426	1486
223	428	1483
224	429	1479
225	430	1475
226	432	1472
227	434	1470
