ConvertedCompYearly,Age,YearsCode,YearsCodePro,Country,EdLevel,DevType,Employment,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith
23352.0,35-44 years old,25,12,Spain,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;System administrator",Employed full-time,"['Bash/Shell', 'C', 'C#', 'C++', 'Delphi', 'HTML/CSS', 'JavaScript', 'Node.js', 'PHP', 'SQL']","['MariaDB', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'Oracle', 'PostgreSQL']",['Microsoft Azure'],"['ASP.NET', 'ASP.NET Core ']","['Docker', 'Git', 'Xamarin']"
64085.0,18-24 years old,7,2,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,"['Bash/Shell', 'Go', 'JavaScript', 'Python']","['PostgreSQL', 'SQLite']",['Microsoft Azure'],"['Django', 'Gatsby']","['Docker', 'Git']"
75669.0,35-44 years old,20,17,Austria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Database administrator;DevOps specialist;Data or business analyst",Employed full-time,"['JavaScript', 'Python', 'Ruby', 'Rust']","['MongoDB', 'PostgreSQL', 'SQLite']",['Heroku'],['Ruby on Rails'],"['Docker', 'Git', 'Yarn']"
55904.0,45-54 years old,20,16,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end;Database administrator;Engineering manager;System administrator",Employed full-time,"['Bash/Shell', 'JavaScript', 'PHP', 'Python', 'SQL', 'TypeScript']","['MariaDB', 'MySQL', 'PostgreSQL', 'SQLite']",[],['Vue.js'],"['Docker', 'Git']"
146712.0,25-34 years old,11,7,"Venezuela, Bolivarian Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test","Independent contractor, freelancer, or self-employed","['HTML/CSS', 'JavaScript', 'Kotlin', 'Node.js', 'PHP', 'SQL', 'TypeScript']","['MariaDB', 'MongoDB', 'MySQL', 'PostgreSQL', 'SQLite']","['AWS', 'Google Cloud Platform']","['Angular', 'Express', 'Laravel', 'React.js', 'Vue.js']",['Git']
13704.0,35-44 years old,3,2,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,"['Node.js', 'SQL', 'TypeScript']","['MongoDB', 'MySQL', 'PostgreSQL']",['AWS'],['Express'],"['Docker', 'Git', 'Yarn']"
77831.0,25-34 years old,6,4,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,Employed full-time,"['HTML/CSS', 'JavaScript', 'Node.js', 'Python', 'SQL', 'TypeScript']","['DynamoDB', 'PostgreSQL', 'Redis', 'SQLite']",['AWS'],"['Express', 'FastAPI', 'Flask', 'Vue.js']","['Docker', 'Git']"
136136.0,35-44 years old,18,15,Canada,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,"['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'Node.js', 'Ruby', 'Rust', 'Swift']","['Microsoft SQL Server', 'SQLite']",[],"['Express', 'jQuery', 'React.js']","['Git', 'Unity 3D']"
52942.0,25-34 years old,12,5,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, back-end;Database administrator;Developer, embedded applications or devices;Designer",Employed full-time,"['C#', 'C++', 'Delphi', 'HTML/CSS', 'Java', 'JavaScript', 'PowerShell', 'Python', 'SQL', 'TypeScript', 'VBA']",['Microsoft SQL Server'],[],"['Angular', 'Angular.js', 'ASP.NET']",['Git']
8377.0,18-24 years old,5,3,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,Employed full-time,['Python'],"['MongoDB', 'MySQL', 'Redis']",['Google Cloud Platform'],['Flask'],"['Docker', 'Git']"
48600.0,25-34 years old,7,4,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack",Employed full-time,"['HTML/CSS', 'Java', 'JavaScript', 'Rust', 'TypeScript']","['Firebase', 'MySQL']","['AWS', 'Heroku']","['Angular', 'jQuery', 'React.js', 'Spring', 'Vue.js']","['Git', 'Unity 3D', 'Yarn']"
135100.0,35-44 years old,23,21,Italy,Something else,"Developer, back-end;DevOps specialist","Independent contractor, freelancer, or self-employed","['Bash/Shell', 'C', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'PHP', 'PowerShell', 'SQL', 'VBA']","['MariaDB', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'Oracle', 'PostgreSQL', 'Redis']","['AWS', 'Heroku']","['Angular.js', 'ASP.NET', 'ASP.NET Core ', 'Express', 'jQuery', 'Spring', 'Vue.js']","['Docker', 'Git', 'Xamarin', 'Yarn']"
4272.0,35-44 years old,18,15,"Iran, Islamic Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end;Product manager;Senior Executive (C-Suite, VP, etc.)",Employed full-time,"['C', 'C#', 'C++', 'Delphi', 'HTML/CSS', 'Java', 'JavaScript', 'Matlab', 'PHP', 'SQL']","['Cassandra', 'Elasticsearch', 'MariaDB', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'Redis', 'SQLite']","['AWS', 'Google Cloud Platform']","['jQuery', 'Laravel']",['Git']
15384.0,25-34 years old,4,,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Database administrator;System administrator,Employed full-time,[],"['Microsoft SQL Server', 'MySQL']",['Microsoft Azure'],[],[]
56211.0,25-34 years old,18,7,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",Employed full-time,"['Elixir', 'HTML/CSS', 'JavaScript', 'Python', 'SQL']",['PostgreSQL'],"['AWS', 'Google Cloud Platform', 'IBM Cloud or Watson', 'Microsoft Azure']","['Gatsby', 'React.js']","['Docker', 'Git', 'Kubernetes', 'Yarn']"
75669.0,25-34 years old,10,5,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Developer, embedded applications or devices;DevOps specialist;Data or business analyst;System administrator;Senior Executive (C-Suite, VP, etc.)","Independent contractor, freelancer, or self-employed","['Assembly', 'C', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'Node.js', 'Python', 'Rust', 'SQL', 'TypeScript']","['Elasticsearch', 'IBM DB2', 'MariaDB', 'MongoDB', 'MySQL', 'Oracle', 'PostgreSQL']",['AWS'],['Angular'],"['Docker', 'Git', 'Kubernetes']"
172957.0,25-34 years old,14,11,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,"['Bash/Shell', 'Java', 'Kotlin', 'Python', 'Ruby']",['DynamoDB'],['AWS'],['Django'],"['Docker', 'Git']"
